iteration,x,y,value,moved
0,-4.0,4.0,1.5968184154966505,True
1,-3.6425957234124304,3.533585575305464,1.2614412563346697,True
2,-3.2661114926017265,3.0921536101106586,0.8825800022218099,True
3,-3.0468917197749863,2.6081453396342305,0.3591124175194128,True
4,-2.6821134243742124,2.167609491234569,-0.3471967606901949,True
5,-2.6586786969792926,1.7565451314808411,-1.0717070401582132,True
6,-3.0851157916486605,1.326871385050059,-1.7529757600429154,True
7,-3.0437058080184958,0.9394850505906163,-1.9833912776170255,True
8,-3.0437058080184958,0.9394850505906163,-1.9833912776170255,False
9,-2.9792929868979017,0.9239839929368666,-2.0031793691521984,True
10,-2.9792929868979017,0.9239839929368666,-2.0031793691521984,False
11,-2.902095037911311,0.959882922515981,-2.014234980429948,True
12,-2.902095037911311,0.959882922515981,-2.014234980429948,False
13,-2.902095037911311,0.959882922515981,-2.014234980429948,False
14,-2.902095037911311,0.959882922515981,-2.014234980429948,False
15,-2.902095037911311,0.959882922515981,-2.014234980429948,False
16,-2.902095037911311,0.959882922515981,-2.014234980429948,False
17,-2.902095037911311,0.959882922515981,-2.014234980429948,False
18,-2.902095037911311,0.959882922515981,-2.014234980429948,False
19,-2.902095037911311,0.959882922515981,-2.014234980429948,False
20,-2.902095037911311,0.959882922515981,-2.014234980429948,False
21,-2.902095037911311,0.959882922515981,-2.014234980429948,False
22,-2.902095037911311,0.959882922515981,-2.014234980429948,False
23,-2.902095037911311,0.959882922515981,-2.014234980429948,False
24,-2.902095037911311,0.959882922515981,-2.014234980429948,False
25,-2.902095037911311,0.959882922515981,-2.014234980429948,False
26,-2.902095037911311,0.959882922515981,-2.014234980429948,False
27,-2.902095037911311,0.959882922515981,-2.014234980429948,False
28,-2.902095037911311,0.959882922515981,-2.014234980429948,False
29,-2.902095037911311,0.959882922515981,-2.014234980429948,False
30,-2.902095037911311,0.959882922515981,-2.014234980429948,False
31,-2.902095037911311,0.959882922515981,-2.014234980429948,False
32,-2.902095037911311,0.959882922515981,-2.014234980429948,False
33,-2.902095037911311,0.959882922515981,-2.014234980429948,False
34,-2.902095037911311,0.959882922515981,-2.014234980429948,False
35,-2.902095037911311,0.959882922515981,-2.014234980429948,False
36,-2.902095037911311,0.959882922515981,-2.014234980429948,False
37,-2.902095037911311,0.959882922515981,-2.014234980429948,False
38,-2.902095037911311,0.959882922515981,-2.014234980429948,False
39,-2.902095037911311,0.959882922515981,-2.014234980429948,False
40,-2.902095037911311,0.959882922515981,-2.014234980429948,False
41,-2.902095037911311,0.959882922515981,-2.014234980429948,False
42,-2.902095037911311,0.959882922515981,-2.014234980429948,False
43,-2.902095037911311,0.959882922515981,-2.014234980429948,False
44,-2.902095037911311,0.959882922515981,-2.014234980429948,False
45,-2.902095037911311,0.959882922515981,-2.014234980429948,False
46,-2.902095037911311,0.959882922515981,-2.014234980429948,False
47,-2.902095037911311,0.959882922515981,-2.014234980429948,False
48,-2.902095037911311,0.959882922515981,-2.014234980429948,False
49,-2.902095037911311,0.959882922515981,-2.014234980429948,False
50,-2.902095037911311,0.959882922515981,-2.014234980429948,False
51,-2.902095037911311,0.959882922515981,-2.014234980429948,False
52,-2.902095037911311,0.959882922515981,-2.014234980429948,False
53,-2.902095037911311,0.959882922515981,-2.014234980429948,False
54,-2.902095037911311,0.959882922515981,-2.014234980429948,False
55,-2.902095037911311,0.959882922515981,-2.014234980429948,False
56,-2.902095037911311,0.959882922515981,-2.014234980429948,False
57,-2.902095037911311,0.959882922515981,-2.014234980429948,False
58,-2.902095037911311,0.959882922515981,-2.014234980429948,False
59,-2.902095037911311,0.959882922515981,-2.014234980429948,False
60,-2.902095037911311,0.959882922515981,-2.014234980429948,False
61,-2.902095037911311,0.959882922515981,-2.014234980429948,False
62,-2.902095037911311,0.959882922515981,-2.014234980429948,False
63,-2.902095037911311,0.959882922515981,-2.014234980429948,False
64,-2.902095037911311,0.959882922515981,-2.014234980429948,False
65,-2.902095037911311,0.959882922515981,-2.014234980429948,False
66,-2.902095037911311,0.959882922515981,-2.014234980429948,False
67,-2.902095037911311,0.959882922515981,-2.014234980429948,False
68,-2.902095037911311,0.959882922515981,-2.014234980429948,False
69,-2.902095037911311,0.959882922515981,-2.014234980429948,False
70,-2.902095037911311,0.959882922515981,-2.014234980429948,False
71,-2.902095037911311,0.959882922515981,-2.014234980429948,False
