iteration,x,y,value,moved
0,4.0,-4.0,1.3537450041283037,True
1,3.6350965050224113,-3.7785116598059183,0.7925034289195808,True
2,3.219111848604796,-3.4458675121525206,-0.18004321337279475,True
3,2.7338181535701653,-3.082227421906945,-1.4354398812651186,True
4,2.2768850421383693,-2.7595211417254433,-2.1649326141914993,True
5,1.9710148150291629,-2.7334988931075683,-2.3262733684572385,True
6,1.967586508828016,-3.069955476911088,-2.3262954681211334,True
7,1.967586508828016,-3.069955476911088,-2.3262954681211334,False
8,1.8913239517984635,-2.983655123320304,-2.3579729241224703,True
9,1.8913239517984635,-2.983655123320304,-2.3579729241224703,False
10,1.8913239517984635,-2.983655123320304,-2.3579729241224703,False
11,1.968521900785054,-2.9477561937411894,-2.3662075053724445,True
12,1.968521900785054,-2.9477561937411894,-2.3662075053724445,False
13,1.968521900785054,-2.9477561937411894,-2.3662075053724445,False
14,1.90078686513132,-2.935607074120289,-2.3675496984592685,True
15,1.90078686513132,-2.935607074120289,-2.3675496984592685,False
16,1.90078686513132,-2.935607074120289,-2.3675496984592685,False
17,1.90078686513132,-2.935607074120289,-2.3675496984592685,False
18,1.90078686513132,-2.935607074120289,-2.3675496984592685,False
19,1.90078686513132,-2.935607074120289,-2.3675496984592685,False
20,1.90078686513132,-2.935607074120289,-2.3675496984592685,False
21,1.90078686513132,-2.935607074120289,-2.3675496984592685,False
22,1.90078686513132,-2.935607074120289,-2.3675496984592685,False
23,1.9781054503761468,-2.919563594280084,-2.3677563715937406,True
24,1.9781054503761468,-2.919563594280084,-2.3677563715937406,False
25,1.9781054503761468,-2.919563594280084,-2.3677563715937406,False
26,1.9781054503761468,-2.919563594280084,-2.3677563715937406,False
27,1.9781054503761468,-2.919563594280084,-2.3677563715937406,False
28,1.9781054503761468,-2.919563594280084,-2.3677563715937406,False
29,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,True
30,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
31,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
32,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
33,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
34,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
35,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
36,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
37,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
38,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
39,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
40,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
41,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
42,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
43,1.9473462934297228,-2.8648138938362613,-2.3686281900257424,False
